FLIGHT REG,AGE
N455MB,19 years
B-222J,Brand new
B-2077,13 years
B-223A,Brand new
B-222N,Brand new
B-221S,1 year
B-2076,13 years
B-222V,Brand new
B-220E,2 years
B-2082,11 years
B-2083,11 years
B-220F,2 years
B-222K,Brand new
B-222H,Brand new
B-221W,1 year
N251SY,6 years
N261SY,5 years
N246SY,6 years
N241SY,6 years
N247SY,6 years
N307SY,2 years
N614CZ,15 years
N313SY,Brand new
N310SY,Brand new
N607CZ,15 years
N297SY,3 years
N259SY,6 years
N603CZ,15 years
N311SY,Brand new
N250SY,6 years
N604CZ,16 years
N613CZ,15 years
N323SY,1 year
N312SY,1 year
N306SY,2 years
N280SY,4 years
N625CA,19 years
N641CA,19 years
N162PQ,15 years
N712EV,20 years
N607SK,17 years
N609SK,21 years
N608SK,17 years
N804SK,16 years
N692CA,16 years
N554CA,15 years
N806SK,16 years
N836SK,4 years
N822SK,14 years
N549CA,15 years
N803SK,16 years
N840SK,2 years
N838SK,3 years
N689CA,15 years
N809SK,16 years
N170PQ,15 years
N805SK,16 years
N816SK,16 years
N802SK,16 years
N679CA,15 years
N832SK,4 years
N161PQ,15 years
N187PQ,14 years
N800SK,16 years
N897SK,16 years
N839SK,4 years
N824SK,14 years
N817SK,16 years
N693CA,15 years
N827SK,4 years
N831SK,4 years
N304SY,2 years
N830SK,4 years
N829SK,4 years
N834SK,4 years
N442SW,21 years
N873AS,21 years
N702BR,22 years
N506CA,20 years
N922EV,19 years
N498CA,20 years
N936EV,18 years
N477CA,20 years
N926EV,19 years
N459SW,20 years
N921EV,19 years
N449SW,20 years
N461SW,20 years
N460SW,20 years
N878AS,21 years
N446SW,20 years
N874AS,21 years
N445SW,21 years
N439SW,21 years
N293SY,4 years
N258SY,6 years
N295SY,4 years
N243SY,6 years
N254SY,6 years
N242SY,6 years
N256SY,6 years
N308SY,2 years
N305SY,2 years
N294SY,4 years
N253SY,6 years
N303SY,2 years
N252SY,6 years
N276SY,4 years
N260SY,5 years
N813SK,16 years
N548CA,15 years
N898SK,16 years
N823SK,14 years
N899SK,16 years
N827NW,7 years
N823NW,8 years
